material_id,formula,composition,symmetry,a,b,c,alpha,beta,gamma,num_atoms,crystal_system
mp-1181546,Fe3O4,Fe12 O16,P2/m,6.057162,6.119299,8.56245749131784,89.59256383710984,90.0,90.0,28,monoclinic
mp-715614,Fe3O4,Fe6 O8,C2/m,6.0077286583863785,6.0077286583863785,5.049538852083921,77.02659664127862,77.02659664127862,59.566730520266425,14,monoclinic
mp-650112,Fe3O4,Fe24 O32,Pbcm,6.06196,6.08553,17.162276,90.0,90.0,90.0,56,orthorhombic
mp-1379262,Fe3O4,Fe24 O32,Pm,6.091477,6.092231,16.978598732584324,89.84056737313618,90.0,90.0,56,monoclinic
mp-505595,Fe3O4,Fe12 O16,P2_1,3.0127800167825063,10.056886,10.46110309760161,90.0,90.0138742663157,90.0,28,monoclinic
mp-1104628,Fe3O4,Fe6 O8,Pmma,3.297483,12.184029,5.899151,90.0,90.0,90.0,14,orthorhombic
mp-715275,Fe3O4,Fe12 O16,Pc,2.955816,9.795448004795697,10.005483184941044,90.28720356314119,90.0,90.0,28,monoclinic
mp-1181570,Fe3O4,Fe12 O16,Pc,2.933176,9.868186,9.993335726344434,89.96632201324404,90.0,90.0,28,monoclinic
mp-19306,Fe3O4,Fe6 O8,Fd-3m,5.971798531799201,5.97028596864065,5.970067603662706,60.0194976112138,59.99471753942276,59.990501183689,14,cubic
mp-1185276,Fe3O4,Fe24 O32,P1,6.1060358555128875,6.106173092833678,17.060462218148547,90.0023284141446,90.10718363564655,90.01992848121564,56,triclinic
mp-1181657,Fe3O4,Fe12 O16,P2/m,6.06571,6.063353,8.685384314134005,89.7900430436049,90.0,90.0,28,monoclinic
mp-1181813,Fe3O4,Fe24 O32,Pmc2_1,6.088172,6.089138,17.292733,90.0,90.0,90.0,56,orthorhombic
mp-715811,Fe3O4,Fe12 O16,P2/m,6.007113,6.1217044419920335,8.509232119091005,90.50376524875348,90.0,90.0,28,monoclinic
mp-611817,Fe3O4,Fe6 O8,F-43m,6.432635241267766,6.432635241267766,6.432635241267766,60.00000000000001,60.00000000000001,60.00000000000001,14,cubic
mp-18731,Fe3O4,Fe6 O8,Cmcm,5.110714108624743,5.110714108624743,10.001101,90.0,90.0,146.42714176035417,14,orthorhombic
mp-1192788,Fe3O4,Fe12 O16,Pbcm,2.958639,9.801502,10.001722,90.0,90.0,90.0,28,orthorhombic
mp-1182229,Fe3O4,Fe24 O32,P1,6.092230262762644,6.0914771978062925,16.978598990330326,90.0908186637842,89.84056887434528,90.20343749485542,56,triclinic
mp-1271821,Fe3O4,Fe12 O16,P-1,6.046562553800382,10.499344679905837,6.03521649765723,73.56067705310865,119.77440422565296,89.78260488346658,28,triclinic
mp-715438,Fe3O4,Fe6 O8,P1,2.942670937785603,5.098815654836817,9.990261883669017,90.10936990302436,90.23295843123637,73.2770870580854,14,triclinic
mp-1182249,Fe3O4,Fe24 O32,P1,6.077831,6.090047280989697,17.20899669709309,90.14116467546108,90.01316115183202,90.06793591276373,56,triclinic
mp-715558,Fe3O4,Fe12 O16,P2/m,6.016886,6.103622924773286,8.524366487318574,89.55849221455115,90.0,90.0,28,monoclinic
mp-705416,Fe3O4,Fe24 O32,Pbcm,5.923972,6.61708,16.132684,90.0,90.0,90.0,56,orthorhombic
mp-612405,Fe3O4,Fe6 O8,Cm,5.921148183572,5.921148183572,5.100765978964728,75.80183402143273,75.80183402143273,60.632059894872434,14,monoclinic
mp-716052,Fe3O4,Fe12 O16,P2/m,5.988544,6.116787887630238,8.53488854395141,90.1013895641028,90.0,90.0,28,monoclinic
mp-1271978,Fe3O4,Fe12 O16,P1,6.073977571829023,6.063438563782517,10.506512215487545,89.34312782528691,72.73995396148534,59.809482840120076,28,triclinic
mp-510252,Fe3O4,Fe12 O16,Pmma,6.045356,6.097081,8.576026,90.0,90.0,90.0,28,orthorhombic
mp-1181340,Fe3O4,Fe3 O4,P2/m,3.058813,5.142692,5.225572968812702,74.8763351218176,90.0,90.0,7,monoclinic
mp-10464,CaF2,Ca4 F8,Pnma,3.56361707,5.92909833,6.99178186,90.0,90.0,90.0,12,orthorhombic
mp-2741,CaF2,Ca1 F2,Fm-3m,3.9004376588845773,3.900437628174305,3.900438,59.9999968465346,59.99999710698939,60.00000270739696,3,cubic
mp-554355,CaF2,Ca1 F2,P4/mmm,3.749573,3.749573,3.022894,90.0,90.0,90.0,3,tetragonal
mp-560030,CaF2,Ca2 F4,Pmc2_1,3.532502,4.167439,5.977778,90.0,90.0,90.0,6,orthorhombic
mp-1068212,Fe2O3,Fe2 O3,Pm-3m,3.788512,3.788512,3.788512,90.0,90.0,90.0,5,cubic
mp-1078361,Fe2O3,Fe4 O6,Cmcm,4.975465898159186,4.975465898159186,7.311786,90.0,90.0,146.445728134035,10,orthorhombic
mp-1178392,Fe2O3,Fe16 O24,Pbca,5.164835,5.4072,15.050912,90.0,90.0,90.0,40,orthorhombic
mp-1181824,Fe2O3,Fe4 O6,C2/c,14.684251389603386,5.355048445905975,7.809770445585197,131.67234255118046,160.07180482379349,44.99101442550031,10,monoclinic
mp-1205415,Fe2O3,Fe8 O12,Pnma,5.036462,5.265405,7.774239,90.0,90.0,90.0,20,orthorhombic
mp-1244869,Fe2O3,Fe32 O48,P1,10.651935962999309,9.692614337615522,9.524755468954046,87.46853295674356,89.30300676849234,89.15374467010294,80,triclinic
mp-1244911,Fe2O3,Fe32 O48,P1,8.647561134879243,10.935362792783604,10.375002320976993,89.30778347266276,91.84781312904525,93.81732083343658,80,triclinic
